"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT08","WT09"
"USW00094741","TETERBORO AIRPORT, NJ US","2011-06-01","9.40"," 1426","0.00",,,,"95","69","  240","  250","21.0","29.1","    1",,,,,"    1",
"USW00094741","TETERBORO AIRPORT, NJ US","2011-06-02","12.30"," 1056","0.00",,,,"78","58","  300","  300","25.1","35.1",,,,,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2011-06-03","10.29"," 1133","0.00",,,,"77","54","  310","  320","23.0","35.1",,,,,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2011-06-04","5.59"," 1504","0.00",,,,"75","53","  290","  280","17.0","23.9",,,,,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2011-06-05","4.92"," 1252","0.00",,,,"71","57","  140","  130","15.0","29.1",,,,,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2011-06-06","4.03"," 1656","0.00",,,,"85","59","  130","  140","15.0","25.1",,,,,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2011-06-07","7.61"," 1241","0.00",,,,"90","64","  230","  240","17.0","25.1",,,,,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2011-06-08","5.14"," 1347","0.00",,,,"100","69","  290","  240","15.0","21.0",,,,,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2011-06-09","5.59"," 1656","0.48",,,,"101","71","  330","  320","28.0","40.0","    1",,"    1",,,"    1",
"USW00094741","TETERBORO AIRPORT, NJ US","2011-06-10","5.37"," 1532","0.00",,,,"89","67","  110","  110","13.0","23.0","    1",,,,,"    1",
"USW00094741","TETERBORO AIRPORT, NJ US","2011-06-11","6.26"," 1657","0.64",,,,"73","60","   60","   60","13.0","19.9","    1",,,,,"    1",
"USW00094741","TETERBORO AIRPORT, NJ US","2011-06-12","5.14"," 1759","0.01",,,,"79","59","  130","  130","18.1","35.1","    1",,,,,"    1",
"USW00094741","TETERBORO AIRPORT, NJ US","2011-06-13","6.26"," 1611","0.01",,,,"74","62","  280","  300","16.1","19.9","    1",,,,,"    1",
