"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT03","WT04","WT08"
"USW00094741","TETERBORO AIRPORT, NJ US","2019-12-09","6.26"," 2308","1.23",,,"57","38","  230","  230","19.9","25.1","    1",,,
"USW00094741","TETERBORO AIRPORT, NJ US","2019-12-10","9.62"," 2205","0.10","0.5",,"61","40","  270","  280","21.0","31.1","    1",,,
"USW00094741","TETERBORO AIRPORT, NJ US","2019-12-11","7.61"," 2114","0.27",,,"40","31","  280","  300","18.1","23.9","    1",,"    1",
"USW00094741","TETERBORO AIRPORT, NJ US","2019-12-12","5.59"," 1639","0.00",,,"38","25","  350","  140","15.0","21.0",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2019-12-13","4.70"," 2347","0.67",,,"50","29","   50","   50","10.1","15.0",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2019-12-14","8.28"," 2018","0.81",,,"57","45","  240","  230","25.1","33.1",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2019-12-15","12.97"," 1328","0.00",,,"49","35","  290","  280","25.1","38.0",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2019-12-16","3.80"," 0051","0.07",,,"37","32","  320","  300","14.1","21.0",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2019-12-17","6.71"," 0927","0.89",,,"35","32","   60","   50","14.1","18.1",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2019-12-18","10.51"," 2328","0.02",,,"36","21","  310","  280","23.9","38.0",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2019-12-19","12.97"," 0227","0.00",,,"26","16","  310","  320","29.1","36.9",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2019-12-20","7.38"," 0708","0.00",,,"34","21","  320","  320","14.1","19.0",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2019-12-21","2.46"," 1307","0.00",,,"37","20","  160","  150","8.9","19.9",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2019-12-22","4.25"," 1045","0.00",,,"48","23","  130","  120","14.1","23.9",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2019-12-23","5.37"," 1518","0.00",,,"59","28","  200","  200","15.0","19.0",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2019-12-24","5.82"," 1207","0.00",,,"49","31","   20","   10","15.0","21.9",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2019-12-25","2.01"," 1836","0.00",,,"46","26","  200","  160","12.1","15.0",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2019-12-26","4.70"," 1506","0.00",,,"45","32","   60","  100","8.9","12.1",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2019-12-27","5.14"," 1211","0.00",,,"55","40","  220","  210","16.1","19.9",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2019-12-28","3.13"," 1117","0.00",,,"51","32","  360","  360","15.0","19.0",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2019-12-29","3.13"," 2040","0.24",,,"44","29","   60","   70","8.1","11.0",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2019-12-30","11.41"," 1226","0.67",,,"51","38","   80","   90","23.9","36.0",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2019-12-31","6.93"," 2302","0.01",,,"46","38","  280","  290","17.0","23.9",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2020-01-01","10.29"," 1052","0.00",,,"41","30","  300","  280","21.9","27.1",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2020-01-02","4.92"," 1415","0.00",,,"50","28","  220","  220","16.1","19.9",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2020-01-03","3.58"," 1517","0.15",,,"51","42","  160","  150","12.1","17.0",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2020-01-04","4.70"," 2334","0.34",,,"54","42","  320","  330","19.9","25.9",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2020-01-05","14.76"," 0410","0.00",,,"44","33","  330","  310","30.0","40.9",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2020-01-06","7.38"," 1458","0.03",,,"46","31","  270","  260","17.0","23.9",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2020-01-07","4.92"," 0836","0.00",,,"45","32","  290","  230","12.1","15.0",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2020-01-08","12.30"," 1507","0.00",,,"44","28","  310","  310","31.1","38.9",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2020-01-09","6.49"," 0048","0.00",,,"36","23","  300","  330","21.9","30.0",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2020-01-10","8.50"," 1340","0.00",,,"59","31","  230","  220","17.0","23.0",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2020-01-11","10.96"," 1310","0.00",,,"70","46","  210","  220","28.0","36.0",,,,
